fiss_density_watersheds_id,elev_min,elev_max,elev_mean,elev_percentile_60
10227,1176,1494,1255.087523547312,1248
10226,691,917,771.6906875543951,766
10233,92,428,152.6952736318408,133
10229,780,1554,1198.3931163893142,1261
10230,949,2192,1517.9556652871277,1600
8873,480,2194,1478.5144611407336,1584
8891,5,160,112.84393165404263,130
8874,955,2517,1710.2615703729311,1956
9020,1773,2259,2048.169269206746,2073
8876,969,1562,1253.3971906354516,1306
8884,511,1385,913.3979612232661,926
8878,1269,1523,1367.9329961146543,1368
9021,688,1308,1178.0228928199792,1245
8881,787,2360,1684.5574064726009,1798
8895,689,1216,1042.985886402754,1116
8882,778,1999,1414.1934682501212,1497
8885,1024,1382,1241.2722029988465,1281
8886,219,753,398.39303482587064,410
8887,998,2118,1380.684724057323,1401
9028,918,1015,969.1768819415878,975
8888,6,390,232.8746336698144,246
8889,1330,1624,1458.3915260886622,1458
10098,1141,1331,1246.9321203638908,1268.8
8892,469,558,513.6125303433129,522
8897,1023,1304,1134.633027522936,1147
8893,13,885,425.306781166716,492
8896,8,108,81.84402293780326,87
8894,717,1463,1119.4402128179374,1164
8963,548,1013,828.0343241330503,884
8900,801,862,830.740714454696,835
8902,1043,1250,1108.6698979591836,1103.3999999999999
8903,579,889,724,742
9029,1588,1941,1757.121802679659,1786
8905,870,1627,1112.5854571968316,1145
8924,1521,2063,1869.389658848614,1931
8906,1263,1897,1519.1017944667233,1565
8907,642,750,702.8038277511962,718
8908,1120,1452,1253.9760884588804,1267
8923,799,873,831.7934684684685,837
8909,936,1313,1131.9861471861473,1148
8925,837,960,898.8114525139665,906
8926,1189,2409,1653.0574642674524,1721
11297,1129,1588,1259.6279069767443,1269
8910,1059,1359,1195.545627376426,1205
8912,10,254,116.45106382978723,121
8913,57,1416,867.6465517241379,1021
8914,1277,1987,1629.6576604237027,1685
8915,1529,2009,1795.1167315175098,1829.4
11298,85,323,159.24877450980392,175
8928,1241,2171,1708.129792282396,1769
8938,661,1661,1061.1464181994193,1108
8941,712,887,810.4378596087457,820
8939,924,1452,1143.9088598658666,1164.3999999999996
8946,498,632,563.8269576884061,567
8961,896,1250,1068.842562432139,1125
8958,300,1069,642.4467070262338,706
8954,1140,1716,1427.0103227492486,1452
11503,832,867,849.1632498101746,852
8940,894,2012,1442.1890897194733,1521
8951,920,1184,1078.9501273026808,1106
11786,584,2245,1453.0057338691659,1575
8942,1469,2430,1899.1719948094844,1967
8952,74,195,147.78544061302682,167
8943,716,1403,949.9595449195763,945
8944,655,2394,1460.197707115873,1578
8945,682,2919,1769.0077336290674,1950
8947,567,1222,851.8281397544854,904
8949,1282,2541,1979.4524235417302,2063
8953,387,1120,693.094527363184,733
9354,1139,1214,1177.6145328719724,1183
8950,401,629,506.505267587648,527
